state,x,y
Jammu Kashmir,-130,225
Himachal Pradesh,-97,169
Punjab,-144,146
Rajasthan,-192,72
Gujarat,-211,-4
Maharashtra,-152,-74
Goa,-146,-139
Uttrakhand,-67,137
Uttar Pradesh,-71,83
Madhya Pradesh,-114,0
Kerala,-119,-217
Tamil Nadu,-79,-227
Karnataka,-144,-163
Andhra Pradesh,-59,-120
Odisha,21,-56
West Bengal,76,-6
Haryana,-111,110
Sikkim,88,82
Andaman Nicobar,148,-210
Delhi,-88,97
Puducherry,-43,-196
Chhattisgarh,-28,-75
Bihar,26,35
Arunachal Pradesh,171,94
Nagaland,194,50
Manipur,179,24
Mizoram,168,-14
Tripura,123,7
Meghalaya,117,35
Lakshadweep,-189,-229
Jharkhand,27,8
Assam,141,56
